City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,18.51,83,0,2.57,ZA,1734486625
1,hawaiian paradise park,19.5933,-154.9731,27.15,82,75,5.66,US,1734486793
2,sao jose da coroa grande,-8.8978,-35.1478,26.36,81,98,2.94,BR,1734486749
3,ghanzi,-21.5667,21.7833,22.65,69,100,3.89,BW,1734486797
4,qaqortoq,60.7167,-46.0333,-8.86,74,100,3.74,GL,1734486799
5,hasaki,35.7333,140.8333,10.16,52,1,4.96,JP,1734486800
6,port-aux-francais,-49.35,70.2167,5.7,84,68,12.92,TF,1734486802
7,atafu village,-8.5421,-172.5159,26.54,84,100,7.36,TK,1734486803
8,grytviken,-54.2811,-36.5092,-0.46,84,20,5.23,GS,1734486805
9,bilibino,68.0546,166.4372,-25.28,100,100,1.48,RU,1734486806
10,saipan,15.1355,145.701,31.39,82,40,8.75,MP,1734486808
11,bredasdorp,-34.5322,20.0403,14.56,71,63,1.69,ZA,1734486809
12,leua,48.2156,18.6071,4.03,90,50,1.06,SK,1734486810
13,udaipur,24.5712,73.6918,7.5,34,0,1.79,IN,1734486812
14,haverhill,42.7762,-71.0773,8.51,71,0,3.09,US,1734486751
15,waitangi,-43.9535,-176.5597,14.9,93,100,3.58,NZ,1734486817
16,anadyr,64.75,177.4833,-11.72,79,75,9.0,RU,1734486818
17,newman,37.3138,-121.0208,8.92,94,73,1.52,US,1734486822
18,college,64.8569,-147.8028,-16.42,78,75,0.0,US,1734486824
19,leava,-14.3,-178.1667,28.33,73,94,3.87,WF,1734486825
20,blackmans bay,-43.0167,147.3167,21.4,46,0,2.24,AU,1734486826
21,albany,42.6001,-73.9662,5.36,73,21,0.45,US,1734486684
22,alakurtti,66.9672,30.3491,-20.21,98,37,1.68,RU,1734486829
23,yellowknife,62.456,-114.3525,-30.88,90,0,2.57,CA,1734486780
24,shenjiamen,29.9576,122.298,9.96,58,79,8.41,CN,1734486832
25,iqaluit,63.7506,-68.5145,-23.15,59,75,2.57,CA,1734486835
26,greymouth,-42.4667,171.2,18.4,58,0,3.8,NZ,1734486836
27,nuuk,64.1835,-51.7216,-3.66,68,100,19.55,GL,1734486838
28,talnakh,69.4865,88.3972,-13.81,93,100,8.05,RU,1734486842
29,meizhou,24.2977,116.1072,15.51,28,0,1.87,CN,1734486845
30,ust-nera,64.5667,143.2,-30.02,97,100,0.5,RU,1734486847
31,karasburg,-28.0167,18.75,17.33,18,3,2.09,NA,1734486850
32,olyokminsk,60.3736,120.4264,-22.01,97,7,2.52,RU,1734486851
33,fortuna,40.5982,-124.1573,14.4,78,0,6.17,US,1734486853
34,adamstown,-25.066,-130.1015,21.63,64,1,5.61,PN,1734486855
35,constantia,44.1833,28.65,3.38,79,0,5.15,RO,1734486856
36,bethel,41.3712,-73.414,9.46,69,100,0.45,US,1734486628
37,pangai,-19.8,-174.35,29.06,65,40,4.12,TO,1734486859
38,isangel,-19.55,169.2667,27.64,76,94,3.54,VU,1734486861
39,natal,-5.795,-35.2094,27.12,78,20,4.12,BR,1734486407
40,toliara,-23.35,43.6667,24.49,76,22,3.61,MG,1734486864
41,chengdu,30.6667,104.0667,4.94,93,0,1.0,CN,1734486866
42,kodiak,57.79,-152.4072,4.73,93,75,4.63,US,1734486774
43,touros,-5.1989,-35.4608,26.2,81,100,4.82,BR,1734486869
44,selfoss,63.9331,-20.9971,-1.09,94,76,2.39,IS,1734486871
45,tsiombe,-25.3,45.4833,22.88,87,100,1.13,MG,1734486872
46,extrema,-22.8547,-46.3183,15.91,96,46,1.94,BR,1734486874
47,labrador city,52.9463,-66.9114,-0.46,86,100,5.66,CA,1734486875
48,iskateley,67.6803,53.1512,-19.26,82,24,4.06,RU,1734486877
49,puerto baquerizo moreno,-0.9,-89.6,22.61,85,40,3.6,EC,1734486879
50,punta arenas,-53.15,-70.9167,9.06,61,20,9.26,CL,1734486883
51,kone,-21.0595,164.8658,30.59,62,100,1.38,NC,1734486884
52,la'ie,21.6477,-157.9253,28.92,71,0,1.34,US,1734486886
53,tiksi,71.6872,128.8694,-18.33,86,100,4.68,RU,1734486887
54,laojunmiao,39.8333,97.7333,-11.69,64,100,0.79,CN,1734486373
55,puerto ayora,-0.7393,-90.3518,22.54,84,10,3.1,EC,1734486890
56,poronaysk,49.2167,143.1167,-8.59,76,100,1.6,RU,1734486892
57,drayton valley,53.2168,-114.9854,-24.75,99,44,1.76,CA,1734486605
58,walvis bay,-22.9575,14.5053,13.35,90,0,2.66,NA,1734486895
59,arraial do cabo,-22.9661,-42.0278,23.49,86,50,4.27,BR,1734486896
60,puerto natales,-51.7236,-72.4875,7.25,81,40,9.77,CL,1734486898
61,longyearbyen,78.2186,15.6401,-11.09,79,20,5.14,SJ,1734486900
62,maralal,1.0968,36.698,13.24,83,69,1.7,KE,1734486726
63,codrington,-38.2667,141.9667,18.17,52,0,5.74,AU,1734486903
64,tazovsky,67.4667,78.7,-8.99,94,100,5.41,RU,1734486904
65,canico,32.6333,-16.85,20.35,83,20,7.72,PT,1734486905
66,cole harbour,44.6724,-63.4751,7.74,95,100,4.63,CA,1734486907
67,papao,-17.75,-149.55,29.82,72,30,1.91,PF,1734486909
68,karaton,-6.3424,106.1045,27.6,76,46,2.71,ID,1734486911
69,utrik,11.2278,169.8474,27.17,77,51,11.12,MH,1734486912
70,invercargill,-46.4,168.35,21.75,35,100,4.02,NZ,1734486642
71,stulpicani,47.4667,25.7667,2.41,89,35,2.5,RO,1734486916
72,whitehorse,60.7161,-135.0538,-18.57,77,20,5.66,CA,1734486917
73,badger,64.8,-147.5333,-16.47,77,75,0.0,US,1734486920
74,antsiranana,-12.2787,49.2917,24.05,82,95,5.47,MG,1734486922
75,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,60,75,8.0,RU,1734486637
76,ciudad bolivar,8.1222,-63.5497,27.3,72,28,5.91,VE,1734486925
77,el nido,11.1858,119.3956,26.75,91,100,5.35,PH,1734486927
78,tobelo,1.7284,128.0095,29.13,68,99,2.24,ID,1734486699
79,krasnokamensk,50.0979,118.0369,-17.18,74,100,1.03,RU,1734486722
80,mejit,10.2753,170.8646,27.34,81,12,10.73,MH,1734486935
81,hamilton,39.1834,-84.5333,6.54,75,0,0.89,US,1734486936
82,udachny,66.4167,112.4,-32.74,95,10,2.36,RU,1734486938
83,kununurra,-15.7667,128.7333,28.99,79,99,1.03,AU,1734486769
84,qingyuan,23.7,113.0333,15.73,39,0,3.78,CN,1734486940
85,happy valley-goose bay,53.3168,-60.3315,2.17,87,100,5.14,CA,1734486942
86,valparaiso,-33.0393,-71.6273,15.8,77,0,2.57,CL,1734486945
87,montepuez,-13.1256,38.9997,21.98,87,99,2.62,MZ,1734486946
88,kurchatov,51.6601,35.6521,0.33,92,100,9.48,RU,1734486950
89,malanje,-9.5402,16.341,17.83,99,100,1.26,AO,1734486952
90,edinburgh of the seven seas,-37.0676,-12.3116,17.16,96,92,12.78,SH,1734486954
91,upington,-28.4478,21.2561,19.21,20,0,2.57,ZA,1734486955
92,datong,40.0936,113.2914,-10.05,49,0,1.91,CN,1734486957
93,al badari,26.9926,31.4155,13.07,69,100,4.16,EG,1734486958
94,pimentel,-6.8367,-79.9342,21.16,78,0,7.2,PE,1734486960
95,chonchi,-42.6128,-73.8092,14.51,89,100,0.94,CL,1734486962
96,okhotsk,59.3833,143.3,-19.45,80,100,8.21,RU,1734486442
97,vila velha,-20.3297,-40.2925,23.97,95,100,4.47,BR,1734486966
98,beyneu,45.3167,55.2,-0.55,91,83,4.85,KZ,1734486967
99,lake sebu,6.22,124.6936,25.11,79,61,0.78,PH,1734486969
100,badiyah,22.45,58.8,16.79,65,0,1.24,OM,1734486970
101,kraljevo,43.7258,20.6894,0.0,100,0,0.51,RS,1734486972
102,isafjordur,66.0755,-23.124,-5.05,93,78,1.12,IS,1734486975
103,mosjoen,65.836,13.1908,-7.71,93,100,1.03,NO,1734486977
104,taulaga,-11.0553,-171.0883,27.87,80,100,6.82,AS,1734486978
105,uturoa,-16.7333,-151.4333,27.43,69,100,2.2,PF,1734486980
106,amga,60.8953,131.9608,-21.92,96,100,2.35,RU,1734486981
107,zinjibar,13.1287,45.3807,23.1,54,6,3.28,YE,1734486983
108,zaozersk,69.4005,32.4476,-17.94,87,100,2.67,RU,1734486459
109,umm kaddadah,13.6017,26.6876,19.39,38,100,6.6,SD,1734486986
110,valuyki,50.2035,38.1067,0.99,81,97,8.71,RU,1734486988
111,port mathurin,-19.6833,63.4167,25.41,72,72,9.04,MU,1734486989
112,bandraboua,-12.7044,45.1223,25.82,77,96,0.85,YT,1734486992
113,papatowai,-46.5619,169.4708,20.71,48,100,4.69,NZ,1734486994
114,rio grande,-32.035,-52.0986,18.79,73,0,4.98,BR,1734486995
115,olonkinbyen,70.9221,-8.7187,-2.33,86,100,9.15,SJ,1734486997
116,hithadhoo,-0.6,73.0833,27.48,80,63,6.29,MV,1734486998
117,aljezur,37.3191,-8.8033,13.51,94,100,4.56,PT,1734486999
118,czestochowa,50.7965,19.1241,6.66,84,100,4.57,PL,1734487001
119,ilulissat,69.2167,-51.1,-8.99,62,100,8.23,GL,1734487002
120,jamestown,42.097,-79.2353,2.79,87,100,3.09,US,1734486852
121,flying fish cove,-10.4217,105.6791,28.82,78,20,2.06,CX,1734487006
122,luwingu,-10.2621,29.9271,16.58,99,100,1.08,ZM,1734487007
123,devils lake,48.1128,-98.8651,-8.01,86,100,2.06,US,1734487010
124,boa vista,2.8197,-60.6733,25.99,83,20,1.54,BR,1734486952
125,malvan,16.0667,73.4667,21.42,39,64,2.29,IN,1734487013
126,sinop,41.7711,34.8709,1.59,85,5,4.64,TR,1734486623
127,yalutorovsk,56.6536,66.3006,-9.76,92,100,4.8,RU,1734487017
128,fort st. john,56.2499,-120.8529,-22.06,77,100,3.09,CA,1734486794
129,tofol,5.3248,163.0078,27.88,89,100,6.17,FM,1734487023
130,priob'ye,62.5206,65.5964,-11.45,97,100,2.67,RU,1734487024
131,mount isa,-20.7333,139.5,38.87,24,8,7.2,AU,1734486767
132,port lincoln,-34.7333,135.8667,18.88,60,11,6.51,AU,1734487027
133,sydney,-33.8679,151.2073,22.42,64,75,13.38,AU,1734486931
134,hotan,37.0997,79.9269,-8.85,68,1,0.82,CN,1734487030
135,ushuaia,-54.8,-68.3,8.81,57,40,1.54,AR,1734486894
136,stanley,54.868,-1.6985,11.01,90,75,7.72,GB,1734487034
137,cam ranh,11.9214,109.1591,26.98,65,75,7.72,VN,1734487036
138,avarua,-21.2078,-159.775,27.03,94,100,4.12,CK,1734486985
139,shingu,33.7333,135.9833,9.97,43,100,3.61,JP,1734487040
140,la passe,45.5549,-0.8967,8.39,66,70,4.17,FR,1734487041
141,dambatta,12.433,8.5154,13.82,25,100,3.67,NG,1734487044
142,lebu,-37.6167,-73.65,13.36,86,3,7.41,CL,1734487045
143,kerch,45.3583,36.4758,8.26,76,70,11.54,UA,1734487047
144,san cristobal verapaz,15.3833,-90.4,13.64,100,38,0.87,GT,1734487048
145,klyuchi,52.2667,79.1667,-11.43,77,100,6.87,RU,1734487050
146,huarmey,-10.0681,-78.1522,19.88,86,96,3.62,PE,1734487051
147,diamantino,-14.4086,-56.4461,22.11,94,100,1.41,BR,1734487052
148,tolanaro,-25.0319,46.9987,23.04,94,0,0.0,MG,1734487054
149,west island,-12.1568,96.8225,28.99,79,5,4.12,CC,1734487055
150,miyaly,48.8844,53.7836,-2.38,95,55,6.11,KZ,1734487057
151,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,1734487059
152,trenton,40.217,-74.7429,9.64,72,1,1.89,US,1734486930
153,mbekenyera,-10.0,38.9833,22.49,88,71,0.92,TZ,1734487064
154,ribeira grande,38.5167,-28.7,17.1,80,78,8.94,PT,1734487066
155,namibe,-15.1961,12.1522,21.68,75,100,3.35,AO,1734487067
156,thompson,55.7435,-97.8558,-22.91,77,0,2.57,CA,1734487069
157,naze,28.3667,129.4833,15.51,53,43,4.43,JP,1734487071
158,altamont,42.2068,-121.7372,4.91,87,0,6.69,US,1734487074
159,kashgar,39.4547,75.9797,-4.44,74,100,2.0,CN,1734487075
160,san antonio de pale,-1.4014,5.6325,26.6,81,78,2.52,GQ,1734487077
161,castillos,-34.1667,-53.8333,15.3,91,4,2.25,UY,1734487079
162,ixtapa,20.7,-105.2,20.33,89,6,0.67,MX,1734487081
163,yuzhno-kurilsk,44.0306,145.8556,-2.17,48,100,7.51,RU,1734487082
164,new norfolk,-42.7826,147.0587,22.06,29,0,3.12,AU,1734487084
