City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,-31.36,68,0,2.57,CA,1734502386
1,vorgashor,67.5833,63.95,-24.57,100,97,2.97,RU,1734502387
2,papatowai,-46.5619,169.4708,17.12,61,100,3.82,NZ,1734502388
3,tiksi,71.6872,128.8694,-23.73,98,85,3.43,RU,1734502389
4,namibe,-15.1961,12.1522,21.82,75,100,3.2,AO,1734502391
5,sao joao da barra,-21.6403,-41.0511,22.21,92,99,2.84,BR,1734502162
6,miramichi,47.0043,-65.4654,3.61,74,75,5.76,CA,1734502393
7,grytviken,-54.2811,-36.5092,0.09,80,20,4.24,GS,1734502394
8,waitangi,-43.9535,-176.5597,14.34,95,100,3.58,NZ,1734502395
9,wailua homesteads,22.0669,-159.378,23.44,89,20,4.12,US,1734502397
10,messkirch,47.9833,9.1167,5.05,88,100,5.81,DE,1734502398
11,hawaiian paradise park,19.5933,-154.9731,23.28,98,0,0.0,US,1734502399
12,invercargill,-46.4,168.35,16.68,76,100,5.36,NZ,1734502400
13,adamstown,-25.066,-130.1015,21.36,67,1,5.4,PN,1734502401
14,aginskoye,51.1,114.53,-11.86,86,100,1.28,RU,1734502335
15,kupang,-10.1667,123.5833,31.32,74,75,6.17,ID,1734502404
16,port-aux-francais,-49.35,70.2167,5.07,95,93,13.75,TF,1734502405
17,camiri,-20.05,-63.5167,21.06,85,75,1.57,BO,1734502406
18,margaret river,-33.95,115.0667,22.19,57,0,8.73,AU,1734502407
19,kerman,30.2832,57.0788,6.38,16,0,0.38,IR,1734502410
20,port alfred,-33.5906,26.891,19.54,98,98,1.34,ZA,1734502411
21,guerrero negro,27.9769,-114.0611,13.56,87,0,1.48,MX,1734502412
22,inari,68.906,27.0288,-23.25,100,59,1.85,FI,1734502414
23,weno,7.4515,151.8468,28.07,82,97,11.43,FM,1734502415
24,corumba,-19.0092,-57.6533,24.28,70,6,0.28,BR,1734502417
25,ribeira grande,38.5167,-28.7,15.43,85,75,4.02,PT,1734502418
26,bammental,49.3561,8.7794,5.05,99,100,2.87,DE,1734502419
27,bowen,-20.0167,148.2333,29.22,70,38,4.08,AU,1734502386
28,sinabang,2.4803,96.3801,28.25,76,89,2.05,ID,1734502421
29,bethel,41.3712,-73.414,5.9,81,93,0.89,US,1734502183
30,coahuayana de hidalgo,18.7,-103.6583,22.64,93,50,1.21,MX,1734502424
31,edna,28.9786,-96.6461,18.82,95,18,2.77,US,1734502425
32,villa ojo de agua,-29.5,-63.6938,18.43,64,57,4.51,AR,1734502277
33,kodiak,57.79,-152.4072,3.73,93,100,4.63,US,1734502427
34,cabo san lucas,22.8909,-109.9124,19.31,80,39,0.66,MX,1734502140
35,ushuaia,-54.8,-68.3,8.81,46,0,5.14,AR,1734502322
36,lihue,21.9789,-159.3672,23.77,88,20,4.12,US,1734502431
37,pankrushikha,53.8319,80.3406,-11.28,69,100,6.23,RU,1734502432
38,geraldton,-28.7667,114.6,26.23,61,75,10.8,AU,1734502433
39,college,64.8569,-147.8028,-15.86,77,40,2.06,US,1734502434
40,olonkinbyen,70.9221,-8.7187,-1.15,68,100,7.84,SJ,1734502435
41,utrik,11.2278,169.8474,27.3,78,27,10.54,MH,1734502438
42,ilulissat,69.2167,-51.1,-7.99,62,40,6.17,GL,1734502439
43,alamosa,37.4695,-105.87,-8.01,73,0,1.58,US,1734502440
44,bilibino,68.0546,166.4372,-24.3,99,100,1.77,RU,1734502441
45,lahaina,20.8783,-156.6825,23.78,85,6,0.49,US,1734502442
46,badger,64.8,-147.5333,-15.91,81,40,2.06,US,1734502443
47,mili,6.0815,171.735,27.83,82,97,8.69,MH,1734502445
48,albany,42.6001,-73.9662,4.14,81,54,2.27,US,1734502446
49,hamilton,39.1834,-84.5333,4.44,82,100,2.24,US,1734501866
50,loa janan,-0.583,117.095,32.27,52,100,2.34,ID,1734502448
51,atafu village,-8.5421,-172.5159,28.5,77,100,7.25,TK,1734502449
52,vratsa,43.21,23.5625,6.51,74,3,2.17,BG,1734502450
53,sur,22.5667,59.5289,22.2,58,4,1.3,OM,1734502452
54,el dorado,38.7666,-120.5177,8.99,80,64,0.89,US,1734502453
55,buka,40.8108,69.1986,3.12,67,100,2.17,UZ,1734502454
56,kolwezi,-10.7148,25.4667,17.18,95,100,0.33,CD,1734502455
57,praia da vitoria,38.7333,-27.0667,15.14,88,75,6.79,PT,1734502456
58,yeppoon,-23.1333,150.7333,28.01,70,12,4.41,AU,1734502458
59,christchurch,-43.5333,172.6333,16.64,54,3,9.77,NZ,1734501945
60,qamdo,31.1667,97.2333,4.55,19,9,0.67,CN,1734502461
61,cedeira,43.6797,-8.0209,16.02,80,100,9.21,ES,1734502462
62,west island,-12.1568,96.8225,30.99,70,75,4.12,CC,1734502464
63,lukolela,-1.0605,17.1821,23.62,81,76,1.03,CD,1734502465
64,gaalkacyo,6.7697,47.4308,26.15,43,20,6.32,SO,1734502466
65,hasaki,35.7333,140.8333,10.12,56,57,6.72,JP,1734502467
66,san-pedro,4.7485,-6.6363,25.24,92,51,1.78,CI,1734502468
67,saynshand,44.8824,110.1163,-8.9,45,100,5.72,MN,1734502469
68,quepos,9.4236,-84.1652,25.18,77,5,1.45,CR,1734502471
69,sirte,31.2089,16.5887,15.0,79,72,1.36,LY,1734502472
70,richards bay,-28.783,32.0377,25.83,83,100,0.17,ZA,1734502183
71,east london,-33.0153,27.9116,19.52,94,100,6.17,ZA,1734502474
72,gimbi,9.1667,35.8333,19.04,46,33,0.33,ET,1734502475
73,lompoc,34.6391,-120.4579,13.94,59,0,2.06,US,1734502476
74,tsiombe,-25.3,45.4833,34.63,37,86,1.34,MG,1734502478
75,fernie,49.5,-115.0687,-2.1,97,100,1.82,CA,1734502279
76,edinburgh of the seven seas,-37.0676,-12.3116,17.51,92,98,12.97,SH,1734502480
77,stanley,54.868,-1.6985,13.01,81,75,11.32,GB,1734502481
78,iqaluit,63.7506,-68.5145,-26.76,87,79,2.56,CA,1734502283
79,besisahar,28.2313,84.3761,19.49,31,0,2.87,NP,1734502483
80,aasiaat,68.7098,-52.8699,-11.55,93,100,4.44,GL,1734502485
81,daru,-9.0763,143.2092,32.36,58,94,1.46,PG,1734502486
82,sitka,57.0531,-135.33,2.94,65,0,3.6,US,1734502487
83,mumford,5.2618,-0.759,25.65,86,8,2.08,GH,1734502488
84,nova sintra,14.8667,-24.7167,25.39,73,14,5.87,CV,1734502489
85,ust-nera,64.5667,143.2,-29.85,99,100,0.31,RU,1734502490
86,san antonio de pale,-1.4014,5.6325,26.49,82,53,2.25,GQ,1734502492
87,whitehorse,60.7161,-135.0538,-21.1,76,40,1.03,CA,1734502493
88,port saint john's,-31.6229,29.5448,21.35,93,100,1.11,ZA,1734502494
89,jamestown,42.097,-79.2353,2.79,89,100,2.06,US,1734502495
90,luis correia,-2.8792,-41.6669,26.44,82,62,6.52,BR,1734502496
91,vieste,41.8825,16.175,12.55,69,4,2.07,IT,1734502498
92,udachny,66.4167,112.4,-27.84,92,40,3.01,RU,1734502499
93,kavaratti,10.5669,72.642,27.03,67,100,2.69,IN,1734502500
94,afaahiti,-17.75,-149.2833,25.95,80,94,3.17,PF,1734502501
95,anadyr,64.75,177.4833,-7.72,79,100,13.0,RU,1734502502
96,blackmans bay,-43.0167,147.3167,19.29,66,1,0.89,AU,1734502503
97,bratsk,56.1325,101.6142,-19.73,83,90,2.27,RU,1734502505
98,sirjan,29.452,55.6814,6.74,16,0,2.38,IR,1734502313
99,kristiansund,63.1115,7.732,4.36,87,75,4.63,NO,1734502507
100,caleta de carquin,-11.0925,-77.6267,19.33,89,82,2.84,PE,1734502508
101,mala vyska,48.6431,31.6366,1.36,82,6,7.33,UA,1734502509
102,quatre cocos,-20.2078,57.7625,29.06,63,54,7.0,MU,1734502511
103,tazacorte,28.629,-17.9293,20.54,49,0,6.69,ES,1734502512
104,fale old settlement,-9.3852,-171.2468,28.11,78,100,7.56,TK,1734502513
105,shevchenko,48.5,35.0,2.79,70,78,8.64,UA,1734502514
106,north battleford,52.7834,-108.2847,-26.95,83,0,3.6,CA,1734502515
107,port elizabeth,-33.918,25.5701,21.29,75,20,6.17,ZA,1734502516
108,puerto natales,-51.7236,-72.4875,6.48,74,93,10.03,CL,1734502518
109,hithadhoo,-0.6,73.0833,27.68,78,67,6.53,MV,1734502519
110,pontcharra,45.4333,6.0167,4.52,76,100,2.09,FR,1734502520
111,leua,48.2156,18.6071,3.59,93,85,0.29,SK,1734502521
112,puerto ayora,-0.7393,-90.3518,21.98,89,20,2.33,EC,1734502522
113,ancud,-41.8697,-73.8203,12.38,91,81,5.49,CL,1734502523
114,baruun-urt,46.6806,113.2792,-12.53,75,92,4.24,MN,1734502525
115,gadzhiyevo,69.2551,33.3362,-16.8,89,100,3.16,RU,1734502526
116,boguchany,58.3814,97.4531,-13.68,88,12,0.75,RU,1734502527
117,rio grande,-32.035,-52.0986,18.19,77,1,4.41,BR,1734502528
118,thompson,55.7435,-97.8558,-22.91,77,75,4.12,CA,1734502529
119,longyearbyen,78.2186,15.6401,-9.09,62,20,2.57,SJ,1734502531
120,kyosai,34.8503,128.5886,3.9,43,8,5.16,KR,1734502532
121,minas de marcona,-15.2119,-75.1103,15.9,83,100,4.49,PE,1734502533
122,tidjikja,18.5564,-11.4271,16.19,30,100,9.37,MR,1734502534
123,tazovsky,67.4667,78.7,-13.65,95,98,4.55,RU,1734502535
124,port mathurin,-19.6833,63.4167,25.33,73,55,8.25,MU,1734502536
125,enewetak,11.3474,162.3373,27.79,80,76,9.16,MH,1734502538
126,noosa heads,-26.3833,153.15,25.83,84,79,6.56,AU,1734502540
127,tofol,5.3248,163.0078,28.88,79,100,2.06,FM,1734502541
128,punta del este,-34.9667,-54.95,17.15,89,0,3.6,UY,1734502542
129,vadso,70.0744,29.7487,-14.91,78,100,5.66,NO,1734502543
130,san julian,21.0167,-102.1667,11.02,47,3,2.49,MX,1734502545
131,urangan,-25.3,152.9,28.73,70,45,3.58,AU,1734502546
132,nizhniy odes,63.6445,54.856,-18.57,98,99,2.95,RU,1734502547
133,ugoofaaru,5.6667,73.0,27.23,78,35,3.04,MV,1734502548
134,nur-sultan,51.1801,71.446,-8.03,67,0,7.0,KZ,1734502549
135,luderitz,-26.6481,15.1594,17.14,69,0,8.51,NA,1734502551
136,kapshagay,43.8833,77.0833,-4.07,66,85,7.08,KZ,1734502552
137,talnakh,69.4865,88.3972,-11.93,95,100,7.25,RU,1734502553
138,avarua,-21.2078,-159.775,26.03,94,100,0.51,CK,1734502554
139,lebu,-37.6167,-73.65,12.27,90,0,6.29,CL,1734502555
140,dryden,49.7833,-92.7503,-12.84,72,100,3.09,CA,1734502556
141,tolanaro,-25.0319,46.9987,32.04,62,0,5.14,MG,1734502558
142,klyuchi,52.2667,79.1667,-8.65,75,100,7.67,RU,1734502560
143,anar darah,32.7587,61.654,7.34,27,0,1.53,AF,1734502563
144,noumea,-22.2763,166.4572,25.41,70,87,6.15,NC,1734502565
145,hermanus,-34.4187,19.2345,18.78,58,61,1.87,ZA,1734502567
146,barbacoas,1.6715,-78.1398,24.09,97,100,0.22,CO,1734502569
147,snowflake,34.5134,-110.0785,1.62,32,34,2.13,US,1734502453
148,nagqu,31.5,92.0,-1.81,19,26,14.48,CN,1734502571
149,colonia,50.9333,6.95,8.31,87,20,3.6,DE,1734502461
150,campos dos goytacazes,-21.75,-41.3,21.32,95,86,1.67,BR,1734502527
151,t'ongch'on-up,38.9539,127.8917,-0.07,42,42,2.68,KP,1734502574
152,moranbah,-22.0016,148.0466,30.83,46,77,5.83,AU,1734502576
153,uturoa,-16.7333,-151.4333,27.55,76,60,4.1,PF,1734502577
154,cuatro cienegas de carranza,26.9833,-102.0833,17.23,79,56,1.41,MX,1734502578
155,canico,32.6333,-16.85,19.35,82,20,8.23,PT,1734502579
156,nar'yan-mar,67.6713,53.087,-18.07,85,59,4.3,RU,1734502580
157,labytnangi,66.6572,66.4183,-27.72,97,13,1.73,RU,1734502581
158,susuman,62.7833,148.1667,-17.91,97,100,1.38,RU,1734502583
159,roha,18.4333,73.1167,30.11,19,74,0.39,IN,1734502584
160,porto novo,6.4965,2.6036,24.9,78,9,1.46,BJ,1734502585
161,grebenskaya,43.5317,46.3733,4.02,86,100,7.32,RU,1734502586
162,carnarvon,-24.8667,113.6333,27.78,63,5,9.96,AU,1734502587
163,sheopur,25.6667,76.7,20.93,21,1,2.1,IN,1734502588
164,kapuskasing,49.4169,-82.4331,-6.95,86,100,3.09,CA,1734502590
165,dauphin,51.1494,-100.0502,-23.92,77,0,5.14,CA,1734502592
166,murray bridge,-35.1167,139.2667,23.06,38,0,7.65,AU,1734502593
167,palikir - national government center,6.9248,158.1611,26.47,94,100,1.54,FM,1734502536
168,santa marta,11.2408,-74.199,26.03,73,0,1.54,CO,1734502590
169,aragarcas,-15.8975,-52.2508,21.56,96,100,0.72,BR,1734502597
170,sturgeon bay,44.8342,-87.377,-0.8,80,100,2.06,US,1734502598
171,mount pearl,47.5166,-52.7813,8.97,94,100,11.83,CA,1734502600
172,piti village,13.4626,144.6933,29.61,83,40,7.2,GU,1734502601
173,sokolac,43.9397,18.8017,1.55,95,10,2.45,BA,1734502602
174,happy valley-goose bay,53.3168,-60.3315,2.17,87,75,5.66,CA,1734502510
175,arrifes,37.7667,-25.7,17.18,67,75,10.8,PT,1734502606
176,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,55,75,8.0,RU,1734502607
177,woodward,36.4337,-99.3904,5.54,52,0,6.17,US,1734502608
178,road town,18.4167,-64.6167,25.79,77,56,9.64,VG,1734502405
179,okhotsk,59.3833,143.3,-17.37,99,100,7.64,RU,1734502611
180,norcasia,5.5778,-74.8852,19.77,97,98,1.78,CO,1734502612
181,neverkino,52.7854,46.7417,-3.19,93,100,4.32,RU,1734502613
182,gisborne,-38.6533,178.0042,16.77,92,100,10.57,NZ,1734502614
183,hadibu,12.65,54.0333,23.65,75,81,7.62,YE,1734502615
184,haiku-pauwela,20.9219,-156.3051,22.8,81,0,3.13,US,1734502617
185,karagay,58.2667,54.9368,-5.72,93,100,4.6,RU,1734502618
186,tuburan,6.6439,122.2736,27.31,79,35,1.9,PH,1734502619
187,al hazm,16.1641,44.7769,15.61,27,35,0.43,YE,1734502620
188,lages,-27.8161,-50.3261,14.32,94,75,1.98,BR,1734502621
189,isabela,6.7085,121.9711,31.03,77,44,1.21,PH,1734502622
190,onguday,50.75,86.15,-12.56,72,10,1.86,RU,1734502624
191,bandarbeyla,9.4942,50.8122,25.23,61,2,10.27,SO,1734502625
192,middelburg,-25.7751,29.4648,21.63,52,100,3.82,ZA,1734502626
193,san patricio,28.017,-97.5169,18.97,87,27,3.36,US,1734502627
194,maunabo,18.0072,-65.8993,25.1,87,73,4.59,PR,1734502628
195,guiratinga,-16.3494,-53.7583,21.27,93,100,0.84,BR,1734502629
196,punta alta,-38.8759,-62.0736,24.46,37,85,7.77,AR,1734502333
197,xining,36.6167,101.7667,-6.47,83,100,0.94,CN,1734502632
198,humaita,-7.5061,-63.0208,22.82,98,99,0.39,BR,1734502535
199,vilyuysk,63.7553,121.6247,-29.18,97,8,2.67,RU,1734502634
200,markala,13.7021,-6.0659,18.19,19,96,4.08,ML,1734502635
201,shulan,44.4167,126.95,-12.94,79,62,2.11,CN,1734502636
202,dunedin,-45.8742,170.5036,13.17,76,100,9.04,NZ,1734502638
203,isafjordur,66.0755,-23.124,-2.3,89,79,4.53,IS,1734502639
204,chonchi,-42.6128,-73.8092,11.18,92,98,2.21,CL,1734502523
205,baganga,7.5739,126.56,27.35,89,75,3.22,PH,1734502641
206,saudarkrokur,65.7461,-19.6394,-6.1,90,79,3.21,IS,1734502642
207,payson,40.0444,-111.7321,2.24,61,59,1.79,US,1734502643
208,touros,-5.1989,-35.4608,25.64,80,94,4.17,BR,1734502646
209,tual,-5.6667,132.75,28.9,79,100,7.5,ID,1734502647
210,walvis bay,-22.9575,14.5053,15.07,81,26,2.25,NA,1734502648
211,keflavik,64.0049,-22.5624,-0.76,100,20,2.57,IS,1734502649
212,bodo,67.28,14.405,-3.46,88,0,7.72,NO,1734502651
