City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san mariano,7.5,126.0,30.08,67,91,1.67,PH,1722488001
1,thompson,55.7435,-97.8558,22.09,56,75,1.54,CA,1722487471
2,port-aux-francais,-49.35,70.2167,3.97,84,100,13.28,TF,1722487932
3,la baneza,42.3003,-5.8977,20.2,88,0,2.08,ES,1722488004
4,bowen,-20.0167,148.2333,20.9,63,17,8.43,AU,1722488005
5,klyuchi,52.2667,79.1667,30.01,37,38,2.71,RU,1722488007
6,blackmans bay,-43.0167,147.3167,11.52,75,81,0.45,AU,1722487544
7,arpacay,40.8487,43.3291,14.8,61,14,1.59,TR,1722488009
8,waitangi,-43.9535,-176.5597,7.68,93,60,1.34,NZ,1722487940
9,georgetown,5.4112,100.3354,31.97,58,20,5.14,MY,1722488011
10,albany,42.6001,-73.9662,23.03,71,61,2.74,US,1722488012
11,ilulissat,69.2167,-51.1,3.01,100,20,2.57,GL,1722487518
12,avarua,-21.2078,-159.775,21.03,60,40,1.54,CK,1722487566
13,adamstown,-25.066,-130.1015,22.31,86,7,9.83,PN,1722487474
14,farafangana,-22.8167,47.8333,20.03,82,85,2.65,MG,1722488017
15,leava,-14.3,-178.1667,26.61,67,41,8.0,WF,1722488018
16,ushuaia,-54.8,-68.3,3.81,75,75,1.03,AR,1722487598
17,matoury,4.8483,-52.3317,23.98,100,0,1.03,GF,1722488021
18,port saint john's,-31.6229,29.5448,11.28,64,0,3.24,ZA,1722488022
19,ljusdal,61.8288,16.0913,11.65,69,46,4.09,SE,1722488024
20,grytviken,-54.2811,-36.5092,-8.26,75,40,5.48,GS,1722487459
21,sainte-adresse,49.5089,0.0845,19.59,100,100,6.69,FR,1722488026
22,atafu village,-8.5421,-172.5159,27.61,74,100,9.41,TK,1722488028
23,ust-nera,64.5667,143.2,5.31,97,100,2.98,RU,1722488029
24,salalah,17.0151,54.0924,25.05,100,100,0.51,OM,1722488030
25,kone,-21.0595,164.8658,20.82,62,100,2.54,NC,1722488031
26,prado,-17.3411,-39.2208,20.63,92,23,1.97,BR,1722488032
27,bay city,43.5945,-83.8889,23.12,89,0,2.06,US,1722488033
